기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
PI첨단소재,2442.5,248.33333333333334,187.16666666666666,5195.5,3308.3333333333335,147.0,504.5,1401.5,9.49,7.13,5.68,3.686666666666667,57.23999999999999,637.1666666666666,-152.96166666666667,11266.0,2.0966666666666667,29366322.0
POSCO홀딩스,761781.5,30722.833333333332,16824.833333333332,1017517.0,603227.3333333334,4824.0,64188.833333333336,266048.3333333333,3.975,2.146666666666667,3.078333333333333,1.7066666666666668,68.685,19305.666666666668,19.251666666666665,719673.6666666666,0.4749999999999999,83597803.5
S-Oil,373017.3333333333,12301.666666666666,5705.0,226865.83333333334,87742.5,2915.0,18509.5,68165.33333333333,3.1750000000000003,1.4483333333333335,7.053333333333334,2.9483333333333337,158.70666666666668,4892.166666666667,-12.925893719806764,75367.16666666667,0.855,112582792.0
SK,1272912.6666666667,37706.333333333336,7899.666666666667,2088966.5,780715.5,161.0,91194.0,861824.3333333334,2.9249999999999994,0.6033333333333334,-3.188333333333333,0.42500000000000004,167.61166666666665,-9856.833333333334,-7.243259145995364,417192.0,0.38666666666666666,73009016.0
SKC,17564.0,-1786.0,-3404.5,67839.66666666667,23614.666666666668,1893.0,-2026.1666666666667,34913.0,-11.51,-20.669999999999998,-23.638333333333335,-4.984999999999999,187.55999999999997,-8581.666666666666,-16.809611592091223,39496.333333333336,2.5416666666666665,37868298.0
SK네트웍스,78841.83333333333,1133.8333333333333,401.1666666666667,71985.66666666667,21537.0,6487.0,1237.3333333333333,35844.333333333336,1.4183333333333332,0.48333333333333334,1.7816666666666665,0.505,231.045,164.0,-627.3205555555556,10575.166666666666,0.4383333333333333,230596313.83333334
SK바이오사이언스,3695.0,-120.0,223.0,18524.0,17039.0,384.0,293.0,206.0,-3.24,6.04,1.29,1.12,8.72,291.0,247.72,22178.0,3.25,76827750.0
SK바이오팜,5476.0,963.0,2270.0,10368.0,5740.0,392.0,949.0,1845.0,17.59,41.45,58.01,25.790000000000003,80.63,3074.0,36.14,6975.0,15.93,78313250.0
SK스퀘어,52876.75,29384.75,28019.0,219809.75,189798.5,141.0,2281.0,6718.25,47.9525,46.942499999999995,16.662499999999998,14.010000000000002,16.22,20968.5,6.7425,136921.0,0.48250000000000004,136429362.75
SK아이이테크놀로지,6483.0,501.0,822.0,40838.0,24117.0,713.0,1253.0,14176.0,7.73,12.67,3.58,2.17,69.34,1152.0,68.47,33825.0,2.33,71297592.0
SK이노베이션,761308.1666666666,10933.666666666666,-6854.166666666667,934133.6666666666,337048.3333333333,6409.333333333333,29733.166666666668,382706.5,1.4083333333333332,-0.94,-3.003333333333334,-0.44833333333333325,177.34333333333333,-7020.166666666667,16.73130187731525,195215.5,0.6616666666666666,124866264.16666667
SK케미칼,17562.0,435.8333333333333,523.1666666666666,47273.833333333336,28599.166666666668,988.0,-270.3333333333333,13202.166666666666,2.3866666666666663,2.896666666666667,2.3466666666666667,1.3250000000000002,64.56333333333333,2536.6666666666665,60.693333333333335,112784.66666666667,0.5066666666666667,17253783.0
SK텔레콤,177239.66666666666,17647.833333333332,12334.833333333334,305154.3333333333,120158.0,305.0,50526.0,111545.5,9.953333333333333,6.948333333333333,9.953333333333333,4.041666666666667,154.03166666666667,5265.5,9.988333333333333,54002.833333333336,0.9616666666666666,216811598.5
