기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
윈팩,1005.2,-127.65,-183.8,1527.5,618.6,365.0,11.5,-200.8,707.9,-16.2625,-22.756,-30.9985,-11.860499999999998,153.02949999999998,-221.3,-9.414815165092289,788.1,1.4025,83421617.7
유니셈,2400.5,229.25,209.0,2413.75,2041.4,153.0,213.85,88.0,84.75,9.249500000000001,8.532,11.348,9.2065,18.972,683.85,11.797500000000001,6938.7,1.2075,30664223.0
유니퀘스트,6544.55,327.65,254.75,4920.05,2623.5,124.9,-74.8,-83.1,1084.8,4.8605,4.0735,10.082,5.3325,90.71600000000001,1051.25,13.614499999999998,10900.45,0.7959999999999999,24231898.1
유니테스트,1239.7,-75.25,-87.75,1934.75,1394.15,106.0,-59.35,-119.4,237.9,-8.479,-9.708,-6.007,-4.5489999999999995,40.071999999999996,-380.9,18.98088893153757,6834.7,2.1695,21134126.0
유니트론텍,5541.15,279.95,144.4,2534.8,1024.15,87.05,-28.35,-51.35,903.7,4.902,2.4045,16.8495,5.733500000000001,154.88500000000002,850.05,10.2095,5346.35,0.9189999999999999,18231884.55
유진테크,3016.25,484.7,449.6,4447.35,3636.8,115.0,507.6,397.9,85.3,15.5995,14.252499999999998,12.9145,10.709,22.1145,1836.25,40.51199999999999,15290.3,2.385,22916042.0
이엔에프테크놀로지,5704.65,474.05,195.5,6479.6,3736.9,71.0,671.05,-145.5,1927.25,8.23,3.253,6.38,3.4894999999999996,72.8395,1521.5,3.936065359477125,25621.8,1.0165,14284836.0
이엘씨,927.6,-41.2,-19.95,2190.75,1923.2,61.0,69.55,62.05,37.35,-17.205,-12.745000000000001,-1.0639999999999998,-0.9359999999999999,13.513499999999999,-164.15,-62.68071048173795,16122.35,0.44750000000000006,12188730.0
이오테크닉스,3559.3,512.1,503.7,6050.25,5430.45,62.0,484.0,255.3,105.5,13.6935,13.758500000000002,9.921000000000001,8.6595,11.7775,4077.6,36.8335,44264.8,2.7919999999999994,12319550.0
인텍플러스,912.15,12.5,13.0,1148.15,517.55,63.75,-6.15,-29.4,286.95,-1.325,-0.6245000000000005,5.986,4.1594999999999995,124.253,110.25,-5.213329725344409,4199.25,4.7909999999999995,12785512.0
